   i     radius            mass              density           energy            temp              abar              zbar
   67  1.6122645267E+07  1.3574486063E-05  1.5374877408E+06  5.3190785648E+16  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
   68  1.6695532854E+07  1.5072817957E-05  1.5373644182E+06  5.3188183950E+16  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
   69  1.7280725609E+07  1.6713115779E-05  1.5372340131E+06  5.3185432733E+16  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
   70  1.7878317070E+07  1.8506660118E-05  1.5370962223E+06  5.3182525582E+16  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
   71  1.8488397954E+07  2.0465451168E-05  1.5369507343E+06  5.3179455908E+16  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
   72  1.9111057675E+07  2.2602247585E-05  1.5367972294E+06  5.3176216942E+16  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
   73  1.9746393269E+07  2.4930636360E-05  1.5366353771E+06  5.3172801686E+16  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
   74  2.0394493763E+07  2.7465018143E-05  1.5364648396E+06  5.3169202990E+16  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
   75  2.1055446791E+07  3.0220666277E-05  1.5362852705E+06  5.3165413515E+16  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
   76  2.1729346102E+07  3.3213800779E-05  1.5360963126E+06  5.3161425692E+16  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
   77  2.2416277930E+07  3.6461573586E-05  1.5358976013E+06  5.3157231793E+16  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
   78  2.3116331116E+07  3.9982154528E-05  1.5356887620E+06  5.3152823873E+16  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
   79  2.3829594958E+07  4.3794769051E-05  1.5354694102E+06  5.3148193779E+16  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
   80  2.4556156060E+07  4.7919727890E-05  1.5352391526E+06  5.3143333167E+16  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
   81  2.5296101698E+07  5.2378491931E-05  1.5349975862E+06  5.3138233479E+16  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
   82  2.6049520751E+07  5.7193729551E-05  1.5347442973E+06  5.3132885933E+16  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
   83  2.6816500235E+07  6.2389347096E-05  1.5344788631E+06  5.3127281543E+16  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
   84  2.7597120319E+07  6.7990501707E-05  1.5342008530E+06  5.3121411159E+16  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
   85  2.8391473086E+07  7.4023787775E-05  1.5339098222E+06  5.3115265322E+16  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
   86  2.9199639051E+07  8.0517124603E-05  1.5336053199E+06  5.3108834440E+16  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
   87  3.0021707763E+07  8.7499967966E-05  1.5332868815E+06  5.3102108624E+16  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
   88  3.0857761564E+07  9.5003240595E-05  1.5329540348E+06  5.3095077818E+16  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
   89  3.1707885232E+07  1.0305946917E-04  1.5326062964E+06  5.3087731717E+16  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
   90  3.2572159031E+07  1.1170278125E-04  1.5322431740E+06  5.3080059825E+16  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
   91  3.3450671752E+07  1.2096909770E-04  1.5318641613E+06  5.3072051340E+16  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
   92  3.4343501734E+07  1.3089600550E-04  1.5314687457E+06  5.3063695316E+16  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
   93  3.5250735647E+07  1.4152301992E-04  1.5310564003E+06  5.3054980496E+16  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
   94  3.6172454941E+07  1.5289150675E-04  1.5306265897E+06  5.3045895431E+16  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
   95  3.7108742060E+07  1.6504481895E-04  1.5301787672E+06  5.3036428425E+16  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
   96  3.8059676856E+07  1.7802832121E-04  1.5297123765E+06  5.3026567562E+16  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
   97  3.9025343391E+07  1.9188955422E-04  1.5292268482E+06  5.3016300642E+16  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
   98  4.0005822974E+07  2.0667821692E-04  1.5287216033E+06  5.3005615245E+16  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
   99  4.1001198377E+07  2.2244630162E-04  1.5281960510E+06  5.2994498685E+16  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
  100  4.2011541068E+07  2.3924796037E-04  1.5276495954E+06  5.2982938158E+16  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
  101  4.3036940232E+07  2.5714005668E-04  1.5270816203E+06  5.2970920407E+16  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
  102  4.4077473873E+07  2.7618177910E-04  1.5264915040E+06  5.2958432048E+16  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
  103  4.5133225124E+07  2.9643499687E-04  1.5258786111E+06  5.2945459384E+16  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
  104  4.6204276188E+07  3.1796424280E-04  1.5252422950E+06  5.2931988467E+16  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
  105  4.7290704554E+07  3.4083671439E-04  1.5245819012E+06  5.2918005153E+16  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
  106  4.8392593065E+07  3.6512256532E-04  1.5238967603E+06  5.2903494968E+16  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
  107  4.9510003562E+07  3.9089440006E-04  1.5231862054E+06  5.2888443462E+16  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
  108  5.0643034207E+07  4.1822866618E-04  1.5224495352E+06  5.2872835439E+16  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
  109  5.1791761465E+07  4.4720444674E-04  1.5216860510E+06  5.2856655725E+16  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
  110  5.2956263232E+07  4.7790405874E-04  1.5208950421E+06  5.2839888867E+16  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
  111  5.4136624228E+07  5.1041330733E-04  1.5200757816E+06  5.2822519046E+16  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
  112  5.5332919540E+07  5.4482114037E-04  1.5192275386E+06  5.2804530317E+16  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
  113  5.6545230959E+07  5.8122018803E-04  1.5183495660E+06  5.2785906368E+16  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
  114  5.7773637528E+07  6.1970660216E-04  1.5174411078E+06  5.2766630662E+16  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
  115  5.9018218742E+07  6.6038024612E-04  1.5165013966E+06  5.2746686382E+16  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
  116  6.0279053467E+07  7.0334476203E-04  1.5155296545E+06  5.2726056457E+16  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
  117  6.1556221514E+07  7.4870772662E-04  1.5145250920E+06  5.2704723527E+16  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
  118  6.2849807307E+07  7.9658090115E-04  1.5134869052E+06  5.2682669883E+16  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
  119  6.4159886874E+07  8.4707986128E-04  1.5124142857E+06  5.2659877684E+16  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
  120  6.5486540682E+07  9.0032456442E-04  1.5113064114E+06  5.2636328744E+16  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
  121  6.6829864693E+07  9.5643996331E-04  1.5101624360E+06  5.2612004321E+16  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
  122  6.8189923752E+07  1.0155541825E-03  1.5089815290E+06  5.2586885957E+16  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
  123  6.9566801904E+07  1.0778006800E-03  1.5077628334E+06  5.2560954579E+16  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
  124  7.0960575815E+07  1.1433172519E-03  1.5065054885E+06  5.2534190980E+16  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
  125  7.2371328098E+07  1.2122467399E-03  1.5052086183E+06  5.2506575568E+16  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
  126  7.3799137896E+07  1.2847367113E-03  1.5038713399E+06  5.2478088546E+16  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
  127  7.5244088832E+07  1.3609399662E-03  1.5024927565E+06  5.2448709755E+16  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
  128  7.6706260529E+07  1.4410142219E-03  1.5010719653E+06  5.2418418848E+16  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
  129  7.8185738173E+07  1.5251227403E-03  1.4996080487E+06  5.2387195089E+16  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
  130  7.9682604140E+07  1.6134339977E-03  1.4981000826E+06  5.2355017528E+16  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
  131  8.1196941184E+07  1.7061219694E-03  1.4965471330E+06  5.2321864936E+16  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
  132  8.2728830350E+07  1.8033661131E-03  1.4949482592E+06  5.2287715855E+16  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
  133  8.4278353950E+07  1.9053516636E-03  1.4933025104E+06  5.2252548533E+16  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
  134  8.5845602567E+07  2.0122702475E-03  1.4916089185E+06  5.2216340761E+16  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
  135  8.7430656607E+07  2.1243187737E-03  1.4898665180E+06  5.2179070293E+16  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
  136  8.9033600852E+07  2.2417005056E-03  1.4880743307E+06  5.2140714523E+16  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
  137  9.0654524467E+07  2.3646252305E-03  1.4862313657E+06  5.2101250472E+16  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
  138  9.2293510820E+07  2.4933086193E-03  1.4843366312E+06  5.2060655040E+16  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
  139  9.3950647538E+07  2.6279730924E-03  1.4823891235E+06  5.2018904765E+16  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
  140  9.5626027705E+07  2.7688480924E-03  1.4803878252E+06  5.1975975784E+16  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
  141  9.7319732812E+07  2.9161687681E-03  1.4783317263E+06  5.1931844273E+16  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
  142  9.9031856710E+07  3.0701781050E-03  1.4762197958E+06  5.1886485836E+16  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
  143  1.0076248830E+08  3.2311255816E-03  1.4740510023E+06  5.1839875953E+16  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
  144  1.0251171952E+08  3.3992679847E-03  1.4718243055E+06  5.1791989770E+16  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
  145  1.0427964189E+08  3.5748692125E-03  1.4695386602E+06  5.1742802200E+16  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
  146  1.0606634856E+08  3.7582005855E-03  1.4671930141E+06  5.1692287862E+16  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
  147  1.0787193167E+08  3.9495406954E-03  1.4647863120E+06  5.1640421165E+16  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
  148  1.0969649266E+08  4.1491766282E-03  1.4623174821E+06  5.1587176006E+16  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
  149  1.1154012250E+08  4.3574019624E-03  1.4597854629E+06  5.1532526351E+16  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
  150  1.1340291906E+08  4.5745187327E-03  1.4571891804E+06  5.1476445729E+16  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
  151  1.1528498345E+08  4.8008372009E-03  1.4545275534E+06  5.1418907343E+16  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
  152  1.1718641423E+08  5.0366752757E-03  1.4517995016E+06  5.1359884242E+16  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
