   0.0000000000000000E+00  1.5324057466429663-124  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00  9.1554707427711407-158  0.0000000000000000E+00  6.5421192950048299-186  0.0000000000000000E+00
   0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00  1.6188375820599394E-89  1.7091564122242288E-88  0.0000000000000000E+00  1.9771671508048656-235  0.0000000000000000E+00  0.0000000000000000E+00  4.4955695788809925E-94
   1.1122478129252110E-97  0.0000000000000000E+00  3.6134984130309719-258  0.0000000000000000E+00  0.0000000000000000E+00  1.3020683232311208-114  1.9427729215523168-107  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00
   0.0000000000000000E+00  9.5889124695110938-134  5.1370587055113938-117  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00  7.3852624877276419-121  1.9350606500128558-123  0.0000000000000000E+00
   0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00  2.3275050257061854-261  1.2342247245540550-132  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00
   1.1932280652284577-140  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00  5.0734662764368046-149  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00
   0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00  1.2082062171424070-153  0.0000000000000000E+00  3.9841750747762628-124  0.0000000000000000E+00
   0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00  2.9994466919137531-157  0.0000000000000000E+00  2.6450342200813505-185  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00
   3.2358730862705086E-89  3.4134150643892076E-88  0.0000000000000000E+00  1.2254174161277209-234  0.0000000000000000E+00  0.0000000000000000E+00  9.6401490763857363E-94  2.4873799470127801E-97  0.0000000000000000E+00  2.6553966180036313-257
   0.0000000000000000E+00  0.0000000000000000E+00  3.2837878857261992-114  4.6748646504582050-107  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00  2.7172268413378005-133  1.3222139909219661-116
   0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00  1.9273964468010339-120  5.2115454267330394-123  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00
   1.7099282440135390-260  3.5651158244830499-132  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00  3.6541855529293570-140  0.0000000000000000E+00  0.0000000000000000E+00
   0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00  1.6541019761963634-148  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00
   0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00  3.6191974170474867-153  0.0000000000000000E+00  1.0327987559573784-123  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00
   9.7906979646309075-157  0.0000000000000000E+00  1.0648204326123786-184  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00  6.4543551096663029E-89  6.8024811716437050E-88  0.0000000000000000E+00
